year,value
1961,1.640419947506233
1962,-0.5164622336984448
1963,1.4564884479747686
1964,4.179586881453434
1965,5.568635479363659
1966,7.227621597877443
1967,6.8113996342867855
1968,0.17062734843795724
1969,3.1869867957369236
1970,5.3498409098302835
1971,4.730691482322635
1972,5.183237645491556
1973,23.070084025084213
1974,26.663034853748833
1975,20.90450945739992
1976,7.158323731184613
1977,10.132967687405415
1978,6.138692667427392
1979,8.267046976175774
1980,11.938230910708647
1981,11.87991359252798
1982,5.903528784358847
1983,6.362033499853004
1984,6.087166735737348
1985,5.61483921793231
1986,3.5064142475818905
1987,4.681218546202204
1988,8.837937018177566
1989,7.844264737400386
1990,9.052131552797649
1991,11.791270335142045
1992,9.509041461901147
1993,9.973664760292378
1994,12.368194393694697
1995,12.343578517051167
1996,10.37380858850032
1997,11.375492886512163
1998,6.228004154245403
1999,4.142637180821773
2000,4.366664512916785
2001,3.14826144590612
2002,3.290344726131633
2003,2.914134700594828
2004,7.44462469342726
2005,9.063327370304176
2006,7.92108440058783
2007,7.598684410507839
2008,20.286121092955376
2009,13.647765063976136
2010,12.938870563488948
2011,11.91609271162799
2012,9.682351860556103
2013,7.692156118995852
2014,7.189384028470358
2015,2.5293281725427663
2016,3.765119163565167
2017,4.0853736803265095
2018,5.078057258688773
2019,10.5780305672025
2020,9.74011619320172
2021,9.49641577285174
2022,19.8738599646656
2023,30.76812806570064
2024,12.632531853045048
2025,3.5455521489090813
