year,value
1960,4.7619000037619
1961,4.7619000037619
1962,4.7619000037619
1963,4.7619000037619
1964,4.7619000037619
1965,4.7619000037619
1966,4.7619000037619
1967,4.7619000037619
1968,4.7619000037619
1969,4.7619000037619
1970,4.7619000037619
1971,4.76190000336508
1972,8.68138258259937
1973,9.99424999991667
1974,9.9
1975,9.9
1976,9.9
1977,9.9
1978,9.9
1979,9.9
1980,9.9
1981,9.9
1982,11.8474666658333
1983,13.1169749993333
1984,14.0463333330833
1985,15.92839166625
1986,16.6475083330833
1987,17.3988
1988,18.0032916666667
1989,20.5414916666667
1990,21.707375
1991,23.8007666666667
1992,25.0827916666667
1993,28.1071833333333
1994,30.5665916666667
1995,31.6426833333333
1996,36.0786833333333
1997,41.111525
1998,45.0466666666667
1999,49.5006915833333
2000,53.6481865
2001,61.9271616666666
2002,59.7237816666667
2003,57.7519966666667
2004,58.2578633333333
2005,59.514475
2006,60.271335
2007,60.7385158333334
2008,70.4080333333333
2009,81.7128916666666
2010,85.1938163257576
2011,86.3433833333333
2012,93.3951972222222
2013,101.628899206349
2014,101.100088423521
2015,102.769271604675
2016,104.769117033301
2017,105.455162087938
2018,121.824068875756
2019,150.036253839864
2020,161.838479684718
2021,162.906253747418
2022,204.867187469982
2023,280.356111655149
2024,278.580716167563
2025,281.143001173202
