date,value
1991-01-01,1300314894.65856
1991-02-01,1212462091.40053
1991-03-01,1209308187.81908
1991-04-01,1049331356.51161
1991-05-01,1008187910.55245
1991-06-01,922133400.48336
1991-07-01,898477362.885083
1991-08-01,1013585849.88351
1991-09-01,953702173.862864
1991-10-01,1064091741.01003
1991-11-01,1237834017.2836
1991-12-01,1399372717.29298
1992-01-01,1365542762.53906
1992-02-01,1385822434.15875
1992-03-01,1303519936.80626
1992-04-01,1117448693.41036
1992-05-01,1085986766.22936
1992-06-01,1012538635.82489
1992-07-01,984139343.311838
1992-08-01,1133859758.88696
1992-09-01,1198363666.43426
1992-10-01,1260988517.02737
1992-11-01,1322123357.21854
1992-12-01,1385055527.68825
1993-01-01,1447740482.22588
1993-02-01,1389533511.83247
1993-03-01,1357575858.35627
1993-04-01,1421679100.86884
1993-05-01,1397448623.37412
1993-06-01,1390778186.62868
1993-07-01,1269354800.86907
1993-08-01,1377984003.70339
1993-09-01,1376419915.36636
1993-10-01,1372572202.0884
1993-11-01,1367183696.17748
1993-12-01,1542014347.05875
1994-01-01,1568120368.47688
1994-02-01,1454212294.1459
1994-03-01,1316531969.35079
1994-04-01,1282092621.6049
1994-05-01,1164758107.60219
1994-06-01,1063644183.56793
1994-07-01,953476248.045436
1994-08-01,1028951239.13948
1994-09-01,1007304800.21798
1994-10-01,1053477359.55358
1994-11-01,1261689490.85009
1994-12-01,1560043400.63508
1995-01-01,1682666868.16948
1995-02-01,1509348305.29837
1995-03-01,1207248914.61716
1995-04-01,1459657219.25882
1995-05-01,1140339391.42826
1995-06-01,1157187012.37128
1995-07-01,976351890.545761
1995-08-01,1086703909.10147
1995-09-01,1069929650.81109
1995-10-01,1202078699.94401
1995-11-01,1419665738.02376
1995-12-01,1660263727.86825
1996-01-01,1580847757.33163
1996-02-01,1460574141.58659
1996-03-01,1494002707.98252
1996-04-01,1250439684.49837
1996-05-01,1189896196.75667
1996-06-01,1205048607.55207
1996-07-01,1038651512.67429
1996-08-01,1101539457.34859
1996-09-01,1092750570.94247
1996-10-01,1175542746.30287
1996-11-01,1264870220.65896
1996-12-01,1628978017.25049
1997-01-01,1525165431.09217
1997-02-01,1395365205.31973
1997-03-01,1540336355.02539
1997-04-01,1366671648.25418
1997-05-01,888110523.17824
1997-06-01,867988072.655794
1997-07-01,967632801.802437
1997-08-01,933148012.776081
1997-09-01,832026698.166499
1997-10-01,846052956.24275
1997-11-01,1032740977.37417
1997-12-01,2047328698.7063
1998-01-01,2281221306.54695
1998-02-01,1852848837.06546
1998-03-01,1742112627.24085
1998-04-01,1187889323.11124
1998-05-01,951065193.175685
1998-06-01,897626689.77087
1998-07-01,972399465.850725
1998-08-01,972609495.903428
1998-09-01,911165484.367425
1998-10-01,854188080.822008
1998-11-01,1034966712.2392
1998-12-01,2098036530.2532
1999-01-01,2270477721.1158
1999-02-01,1971115784.11219
1999-03-01,1829350437.10268
1999-04-01,1231885223.96722
1999-05-01,1000529576.74511
1999-06-01,956903924.001022
1999-07-01,1034366098.47847
1999-08-01,1000464660.46391
1999-09-01,951804320.524658
1999-10-01,935539326.61458
1999-11-01,1221928440.90176
1999-12-01,2227975348.59215
2000-01-01,2173785452.23547
2000-02-01,2059057872.94181
2000-03-01,2048766746.75517
2000-04-01,1583852430.81499
2000-05-01,1733501806.00107
2000-06-01,1587783059.73621
2000-07-01,1460982530.80023
2000-08-01,1571495533.95375
2000-09-01,1679025599.12777
2000-10-01,1629058696.99626
2000-11-01,1753879073.64406
2000-12-01,2250160024.89392
2001-01-01,2728870699.51142
2001-02-01,2277396852.10501
2001-03-01,2194163096.52489
2001-04-01,1694999969.81955
2001-05-01,1791959713.85584
2001-06-01,1738093189.39124
2001-07-01,1594449124.15229
2001-08-01,1641133445.35495
2001-09-01,1655497851.87884
2001-10-01,1655497851.87884
2001-11-01,1709364376.34345
2001-12-01,2158252080.21515
2002-01-01,2596366479.19393
2002-02-01,2183389791.63197
2002-03-01,2377309279.70454
2002-04-01,2079247844.33373
2002-05-01,1842235136.68947
2002-06-01,1727319884.49832
2002-07-01,1766822002.43903
2002-08-01,1547764802.94963
2002-09-01,1465169465.43724
2002-10-01,1547764802.94963
2002-11-01,1824279628.5346
2002-12-01,2283940637.29923
2003-01-01,2625095292.24172
2003-02-01,2445540210.69304
2003-03-01,2865699101.51696
2003-04-01,2298305043.82312
2003-05-01,1878146152.99921
2003-06-01,1867372848.10629
2003-07-01,1791959713.85584
2003-08-01,1867372848.10629
2003-09-01,1932012677.46381
2003-10-01,2003834710.08329
2003-11-01,1827870730.16558
2003-12-01,2423993600.9072
2004-01-01,2538908853.09836
2004-02-01,2237256316.09657
2004-03-01,2495815633.52667
2004-04-01,2348580466.65675
2004-05-01,2283940637.29923
2004-06-01,2244438519.35852
2004-07-01,2107976657.38152
2004-08-01,2158252080.21515
2004-09-01,2169025385.10807
2004-10-01,2219300807.9417
2004-11-01,2344989365.02578
2004-12-01,2905201219.45767
2005-01-01,2740010544.43288
2005-02-01,2589184275.93199
2005-03-01,2962658845.55324
