date,value
1960-01-01,7252000000.0
1961-01-01,6964300000.0
1962-01-01,7596400000.0
1963-01-01,8875500000.0
1964-01-01,10779400000.0
1965-01-01,12058000000.0
1966-01-01,14605000000.0
1967-01-01,15081400000.0
1968-01-01,16959700000.0
1969-01-01,18580100000.0
1970-01-01,20752100000.0
1971-01-01,23609900000.0
1972-01-01,27734200000.0
1973-01-01,31562200000.0
1974-01-01,31182300000.0
1975-01-01,37797600000.0
1976-01-01,49967300000.0
1977-01-01,58935200000.0
1978-01-01,70629400000.0
1979-01-01,84117500000.0
1980-01-01,97321600000.0
1981-01-01,108537600000.0
1982-01-01,132232500000.0
1983-01-01,159881600000.0
1984-01-01,167312300000.0
1985-01-01,191985100000.0
1986-01-01,222842300000.0
1987-01-01,259396300000.0
1988-01-01,279377500000.0
1989-01-01,300054000000.0
1990-01-01,334991300000.0
1991-01-01,398453100000.0
1992-01-01,515202100000.0
1993-01-01,608626000000.0
1994-01-01,714348000000.0
1995-01-01,812998000000.0
1996-01-01,976155000000.0
1997-01-01,1170525000000.0
1998-01-01,1262521000000.0
1999-01-01,1316989000000.0
2000-01-01,1476676000000.0
2001-01-01,1689764000000.0
2002-01-01,1987440400000.0
2003-01-01,2342356400000.0
2004-01-01,2784954000000.0
2005-01-01,3240931000000.0
2006-01-01,4631578000000.0
2007-01-01,5439249000000.0
2008-01-01,5794143796000.0
2009-01-01,6814495817363.99
2010-01-01,7807082726900.0
2011-01-01,8790979839286.22
2012-01-01,10320172533548.0
2013-01-01,11694370341859.6
2014-01-01,13044335106623.4
2015-01-01,14633262962941.4
2016-01-01,16625735215555.4
2017-01-01,18276890431006.4
2018-01-01,20074311419085.4
2019-01-01,22417591739487.4
2020-01-01,25922068520245.4
2021-01-01,28622981656965.0
2022-01-01,30744379266733.4
2023-01-01,35741282651837.1
2024-01-01,40213999009746.8
2025-01-01,46526668576082.5
