year,value
1960,1728358048.25233
1961,2036566470.54225
1962,2226492442.09102
1963,2502790315.7484
1964,2876506131.37039
1965,3198674603.41058
1966,3455256314.90638
1967,3578256826.30445
1968,3760773717.04963
1969,4211114299.22422
1970,4853229875.69943
1971,5163376327.0281
1972,5086666330.86743
1973,5613055617.94773
1974,6085218873.91921
1975,6204251627.39732
1976,6508446441.83555
1977,6700221433.55436
1978,7337707958.25185
1979,7897161899.07316
1980,8747584792.83629
1981,9568249499.52342
1982,10595743570.247
1983,11118970662.5552
1984,11904239507.5922
1985,12836756713.1531
1986,13876549878.1219
1987,15076232642.3283
1988,16556916571.8474
1989,17326981925.8439
1990,18441083213.256
1991,19387948652.7515
1992,20776901855.6402
1993,21794488158.3829
1994,22640910874.8459
1995,23578894152.2944
1996,24692653208.4955
1997,24612366894.7277
1998,26117479016.3585
1999,27402743300.977
2000,27751220060.3518
2001,29598958874.2884
2002,30147982553.3147
2003,32105521904.9858
2004,37623843787.8674
2005,41018403711.8668
2006,42364462588.4824
2007,45442792345.9284
2008,49431085401.3293
2009,47381797215.6995
2010,49254483064.4473
2011,51655548579.8218
2012,52860363369.5675
2013,53471077696.7303
2014,55790133902.0439
2015,58800706799.2706
2016,62337518347.0948
2017,65209628379.2543
2018,71197850804.6699
2019,71374285218.7262
2020,67273735754.263
2021,72788646704.745
2022,77890824339.7089
2023,74869525371.9827
2024,74129374031.6407
2025,78004383854.5663
