year,value
1960,327400600.0
1961,261302470.0
1962,269316859.0
1963,307832196.0
1964,254226648.0
1965,230344688.0
1966,208453006.0
1967,165486080.0
1968,258389140.0
1969,332933120.0
1970,194529622.0
1971,198501968.272939
1972,323798402.128806
1973,590281469.789527
1974,688502075.449753
1975,562995171.933785
1976,684140446.77116
1977,715701866.633621
1978,795941588.071206
1979,1144047212.5687
1980,1567771124.70579
1981,1455323108.8897
1982,1812777232.67859
1983,2682849896.94921
1984,1610425669.5035
1985,1429436612.12654
1986,1464868890.78015
1987,1440835177.34739
1988,1192694259.38085
1989,1302246971.95048
1990,1046429500.63308
1991,1219792227.00139
1992,1523790725.72188
1993,1995445624.14359
1994,3715827396.79534
1995,2527544035.20383
1996,1307463615.27223
1997,1794513746.87746
1998,1625676185.12263
1999,2117468754.80146
2000,2087167574.18215
2001,4218132004.43274
2002,8795802481.46045
2003,11815604886.3329
2004,10718170456.621
2005,11109358834.068
2006,12878021928.1544
2007,15798067447.2965
2008,9024013987.18211
2009,13606125133.5603
2010,17255570039.5703
2011,17697925812.3776
2012,13688479776.3039
2013,7651260101.72058
2014,14306811155.4783
2015,20027864211.2597
2016,22027605269.5237
2017,18455861310.286
2018,11837177725.8521
2019,16586046186.2171
2020,18521734363.9531
2021,22811522857.5295
2022,9926587077.28489
2023,13730353485.3454
2024,18407745860.6666
2025,26455819675.7312
